abstract_ja,category,priority,expected_min,notes
ありがとう,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
感謝,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
ごめん,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
おめでとう,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
嬉しい,emotion,high,12,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低12件想定。
楽しい,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
悲しい,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
寂しい,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
怒り,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
驚き,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
怖い,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
好き,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
大好き,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
応援,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
頑張れ,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
お疲れ様,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
安心,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
疲れた,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
眠い,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
焦り,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
びっくり,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
わくわく,emotion,medium,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低6件想定。
爆笑,emotion,high,8,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低8件想定。
緊張,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
興奮,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
感動,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
共感,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
励まし,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
慰め,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
切ない,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
懐かしい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
虚しい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
もどかしい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
照れ,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
戸惑い,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
不安,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
心配,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
退屈,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
リラックス,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
絶望,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
希望,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
興味,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
納得,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
不満,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
満足,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
後悔,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
嫌い,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
やばい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
エモい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
しんどい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
つらい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
楽勝,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
悔しい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
誇り,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
尊敬,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
恐怖,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
孤独,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
期待,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
気まずい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
恥ずかしい,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
ほっとする,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
どきどき,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
きゅん,emotion,medium,4,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低4件想定。
嫉妬,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
嫌悪,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
うんざり,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
真顔,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
祈り,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
感慨,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
既視感,emotion,low,2,感情・気持ちの検索カバレッジ確認語。関連絵文字を最低2件想定。
春,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
夏,season,high,10,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低10件想定。
秋,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
冬,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
桜,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
梅雨,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
紅葉,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
雪,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
お正月,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
ハロウィン,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
クリスマス,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
バレンタイン,season,high,8,季節・時期・行事の検索カバレッジ確認語。関連絵文字を最低8件想定。
