id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,tags_ja,scenes_ja,tone_ja,assoc_ja,en_flag,importance
1,😀,1F600,grinning face,にっこり笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,喜び;スマイル;ナイス;にっこり;にっこり笑う;ハッピー;笑う;うれしい報告;嬉しい報告;元気;会話向き,挨拶;雑談;会話;リアクション;お祝い,嬉しい;楽しい;明るい;素直;親しみ;前向き;感情的,笑顔;嬉しい;楽しい;明るい;喜び;スマイル;ナイス;にっこり;にっこり笑う;ハッピー;笑う;挨拶;雑談;うれしい報告;会話;リアクション;嬉しい報告;お祝い;素直;元気;親しみ;前向き;感情的;会話向き,,3
2,😃,1F603,grinning face with big eyes,大きな目の笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,スマイル;ハッピー;わーい;口を開けた笑顔;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,嬉しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;スマイル;ハッピー;わーい;口を開けた笑顔;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
3,😄,1F604,grinning face with smiling eyes,目を細めた笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,大笑い;喜び;スマイル;ハッピー;わーい;楽しい会話;嬉しい報告;元気;会話向き,お祝い;成功;挨拶;雑談;会話;リアクション,嬉しい;楽しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;楽しい;大笑い;喜び;スマイル;ハッピー;わーい;お祝い;成功;楽しい会話;挨拶;雑談;会話;リアクション;嬉しい報告;明るい;元気;親しみ;前向き;感情的;会話向き;素直,,3
4,😁,1F601,beaming face with smiling eyes,満面の笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,スマイル;ナイス;にやっと笑う;ハッピー;笑う;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,嬉しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;スマイル;ナイス;にやっと笑う;ハッピー;笑う;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
5,😆,1F606,grinning squinting face,目を閉じた笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,あはは;うけるね;きゃー;スマイル;満足;笑;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,嬉しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;あはは;うけるね;きゃー;スマイル;満足;笑;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
6,😅,1F605,grinning face with sweat,汗笑い,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,苦笑い;焦る;安心;失敗;汗;スマイル;とほほ;冷や汗;冷や汗笑顔;遅刻;ミスの報告;嬉しい報告;申し訳ない;会話向き;元気,謝罪;挨拶;雑談;会話;リアクション;お祝い,嬉しい;くだけた;軽い;明るい;親しみ;前向き;感情的;素直,苦笑い;焦る;安心;失敗;笑顔;嬉しい;汗;スマイル;とほほ;冷や汗;冷や汗笑顔;謝罪;遅刻;ミスの報告;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;くだけた;申し訳ない;軽い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
7,🤣,1F923,rolling on the floor laughing,転げるほど笑う顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,3,爆笑;面白い;大笑い;笑う;あはは;うけるね;スマイル;泣き笑い;涙;笑い転げる;冗談;ネタ;盛り上がり;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,楽しい;嬉しい;にぎやか;強い;くだけた;明るい;親しみ;前向き;感情的;素直,笑顔;爆笑;面白い;大笑い;楽しい;嬉しい;笑う;あはは;うけるね;スマイル;泣き笑い;涙;笑い転げる;冗談;ネタ;盛り上がり;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;にぎやか;強い;くだけた;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
8,😂,1F602,face with tears of joy,嬉し泣き笑い,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,爆笑;面白い;涙;あはは;スマイル;大笑い;嬉し泣き;泣き笑い;笑う;冗談;面白い話;ツッコミ;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,楽しい;嬉しい;にぎやか;くだけた;強い;明るい;親しみ;前向き;感情的;素直,笑顔;爆笑;面白い;涙;楽しい;嬉しい;あはは;スマイル;大笑い;嬉し泣き;泣き笑い;笑う;冗談;面白い話;ツッコミ;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;にぎやか;くだけた;強い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
9,🙂,1F642,slightly smiling face,少し笑う顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,普通;安心;スマイル;ハッピー;ほほえみ;微笑み;微笑む;軽い同意;嬉しい報告;会話向き;元気,挨拶;返事;雑談;会話;リアクション;お祝い,穏やか;嬉しい;控えめ;中立;明るい;親しみ;前向き;感情的;素直,笑顔;穏やか;挨拶;普通;安心;嬉しい;スマイル;ハッピー;ほほえみ;微笑み;微笑む;返事;軽い同意;雑談;会話;リアクション;嬉しい報告;お祝い;控えめ;中立;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
10,🙃,1F643,upside-down face,さかさまの顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,さかさま;さかさまの顔;嬉しい報告;会話向き;元気,挨拶;雑談;会話;リアクション;お祝い,嬉しい;明るい;親しみ;前向き;感情的;素直,笑顔;嬉しい;さかさま;さかさまの顔;挨拶;雑談;会話;リアクション;嬉しい報告;お祝い;明るい;親しみ;前向き;感情的;会話向き;素直;元気,,3
