id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,importance,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key
1,😀,1F600,grinning face,にっこり笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,3,笑顔;顔;にっこり,丸い;目;口;歯;黄色,挨拶;チャット;返信;雑談;SNS,好意;歓迎;安心;友好的,嬉しい;楽しい;明るい;ごきげん;ポジティブ,笑う;微笑む,,笑顔;顔;にっこり;丸い;目;口;歯;黄色;挨拶;チャット;返信;雑談;SNS;好意;歓迎;安心;友好的;嬉しい;楽しい;明るい;ごきげん;ポジティブ;笑う;微笑む;友達;友達関係;仲間;爆笑,1,independent,independent,1,grinning face
2,😃,1F603,grinning face with big eyes,大きな目の笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,笑顔;顔;大きな目,大きい目;丸い目;口;歯;黄色;ぱっちり,挨拶;チャット;返信;雑談;SNS;報告,好意;歓迎;期待;元気,嬉しい;楽しい;明るい;わくわく;元気,笑う;喜ぶ,,笑顔;顔;大きな目;大きい目;丸い目;口;歯;黄色;ぱっちり;挨拶;チャット;返信;雑談;SNS;報告;好意;歓迎;期待;元気;嬉しい;楽しい;明るい;わくわく;笑う;喜ぶ;爆笑,2,independent,independent,1,grinning face with big eyes
3,😄,1F604,grinning face with smiling eyes,目を細めた笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,笑顔;顔;目を細める,細い目;笑った目;口;歯;黄色;にこにこ,挨拶;チャット;返信;雑談;SNS;お礼,好意;歓迎;満足;親しみ,嬉しい;楽しい;明るい;安心;ほっとする,笑う;微笑む;喜ぶ,,笑顔;顔;目を細める;細い目;笑った目;口;歯;黄色;にこにこ;挨拶;チャット;返信;雑談;SNS;お礼;好意;歓迎;満足;親しみ;嬉しい;楽しい;明るい;安心;ほっとする;笑う;微笑む;喜ぶ;爆笑,3,independent,independent,1,grinning face with smiling eyes
4,😁,1F601,beaming face with smiling eyes,満面の笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,笑顔;顔;満面の笑顔,歯;大きな口;笑った目;黄色;にかっ,挨拶;チャット;返信;雑談;SNS;成功報告;お礼,達成;満足;自信;歓迎;好意,嬉しい;楽しい;明るい;得意;ごきげん,笑う;喜ぶ;見せる,,笑顔;顔;満面の笑顔;歯;大きな口;笑った目;黄色;にかっ;挨拶;チャット;返信;雑談;SNS;成功報告;お礼;達成;満足;自信;歓迎;好意;嬉しい;楽しい;明るい;得意;ごきげん;笑う;喜ぶ;見せる;友達;友達関係;仲間;青春;おめでとう;すごい;爆笑,4,independent,independent,1,beaming face with smiling eyes
5,😆,1F606,grinning squinting face,目を閉じた笑顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,笑顔;顔;目を閉じる,閉じた目;大きな口;歯;黄色;くしゃっと,チャット;返信;雑談;SNS;冗談;面白い話,爆笑;楽しさ;盛り上がり;リアクション,嬉しい;楽しい;面白い;明るい;はしゃぐ,笑う;笑いこらえる;喜ぶ,,笑顔;顔;目を閉じる;閉じた目;大きな口;歯;黄色;くしゃっと;チャット;返信;雑談;SNS;冗談;面白い話;爆笑;楽しさ;盛り上がり;リアクション;嬉しい;楽しい;面白い;明るい;はしゃぐ;笑う;笑いこらえる;喜ぶ,5,independent,independent,1,grinning squinting face
6,😅,1F605,grinning face with sweat,汗笑い,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,汗笑い;笑顔;顔;汗,汗;しずく;笑った目;歯;黄色;あせあせ,チャット;返信;雑談;SNS;謝る;言い訳;困った時,苦笑い;照れ隠し;失敗;焦り;気まずさ,焦る;困る;恥ずかしい;ほっとする;申し訳ない,笑う;謝る;ごまかす;焦る,,汗笑い;笑顔;顔;汗;しずく;笑った目;歯;黄色;あせあせ;チャット;返信;雑談;SNS;謝る;言い訳;困った時;苦笑い;照れ隠し;失敗;焦り;気まずさ;焦る;困る;恥ずかしい;ほっとする;申し訳ない;笑う;ごまかす;ごめん;下手;普通,6,independent,independent,1,grinning face with sweat
7,🤣,1F923,rolling on the floor laughing,転げるほど笑う顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,3,3,爆笑;笑顔;顔;転げる笑い,傾き;涙;大きな口;目を閉じる;黄色,チャット;返信;雑談;SNS;冗談;ネタ;面白い話,大爆笑;ウケる;笑いすぎ;盛り上がり;リアクション,面白い;楽しい;嬉しい;陽気;はしゃぐ,笑う;転げる;笑い転げる,ネットミーム,爆笑;笑顔;顔;転げる笑い;傾き;涙;大きな口;目を閉じる;黄色;チャット;返信;雑談;SNS;冗談;ネタ;面白い話;大爆笑;ウケる;笑いすぎ;盛り上がり;リアクション;面白い;楽しい;嬉しい;陽気;はしゃぐ;笑う;転げる;笑い転げる;ネットミーム,7,independent,independent,1,rolling on the floor laughing
8,😂,1F602,face with tears of joy,嬉し泣き笑い,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,0.6,3,嬉し泣き;泣き笑い;笑顔;顔;涙,涙;しずく;笑った目;大きな口;黄色,チャット;返信;雑談;SNS;冗談;感動;面白い話,笑い泣き;ウケる;感情があふれる;リアクション,面白い;嬉しい;楽しい;感動;泣ける,笑う;泣く;笑い泣きする,ネットミーム,嬉し泣き;泣き笑い;笑顔;顔;涙;しずく;笑った目;大きな口;黄色;チャット;返信;雑談;SNS;冗談;感動;面白い話;笑い泣き;ウケる;感情があふれる;リアクション;面白い;嬉しい;楽しい;泣ける;笑う;泣く;笑い泣きする;ネットミーム;爆笑,8,independent,independent,1,face with tears of joy
9,🙂,1F642,slightly smiling face,少し笑う顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,3,笑顔;顔;少し笑う,小さな口;丸い目;黄色;控えめ;シンプル,挨拶;返信;チャット;雑談;SNS;確認,穏やか;了解;無難;やさしさ;平静,嬉しい;穏やか;安心;控えめ;落ち着く,微笑む;返事する,,笑顔;顔;少し笑う;小さな口;丸い目;黄色;控えめ;シンプル;挨拶;返信;チャット;雑談;SNS;確認;穏やか;了解;無難;やさしさ;平静;嬉しい;安心;落ち着く;微笑む;返事する;普通,9,independent,independent,1,slightly smiling face
10,🙃,1F643,upside-down face,さかさまの顔,Smileys & Emotion,顔文字と感情,face-smiling,笑顔,1,3,さかさま;顔;逆さ顔;笑顔,逆さま;上下逆;小さな口;丸い目;黄色,チャット;返信;雑談;SNS;冗談;皮肉,ひねり;冗談;皮肉;照れ隠し;混乱;あえて外す,おどける;気まずい;面白い;困る;ゆるい,ふざける;ごまかす;茶化す,,さかさま;顔;逆さ顔;笑顔;逆さま;上下逆;小さな口;丸い目;黄色;チャット;返信;雑談;SNS;冗談;皮肉;ひねり;照れ隠し;混乱;あえて外す;おどける;気まずい;面白い;困る;ゆるい;ふざける;ごまかす;茶化す;下手;普通,10,independent,independent,1,upside-down face
